class,precision,recall,f1,support,tp,fp,fn
the image shows a gastroscopy with a metal clip and visualization of the z-line.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with evidence of oesophagitis and no instrument visible.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no evidence of green or black box artifacts.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no evidence of polyps detected.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no evidence of polyps.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no green or black box artifacts and polyp removal is not indicated.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no instruments or polyps observed.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no instruments present and no residual polyps.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no instruments visible and evidence of esophageal inflammation.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no polyps and evidence of oesophagitis.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no polyps detected and no instruments visible.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no polyps identified.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no polyps or instruments present.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no residual polyps and no polyp detected.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no visible instruments and no polyp identified.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no visible instruments.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no visible polyps and evidence of esophagitis.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with visible z-line anatomy.,0.0,0.0,0.0,1,0,0,1
"the image shows a gastroscopy, and no polyps are currently present.",0.0,0.0,0.0,1,0,0,1
the image shows a normal gastroscopy with no polyps identified.,0.0,0.0,0.0,1,0,0,1
the image shows findings from a gastroscopy with evidence of barrett's and esophagitis.,0.0,0.0,0.0,1,0,0,1
"the polyp measures 5 to 10 millimeters, and no instruments are present in the image.",0.0,0.0,0.0,1,0,0,1
"the polyp measures 5-10 millimeters, and the z-line is visible.",0.0,0.0,0.0,1,0,0,1
"the procedure is a colonoscopy, text is visible, and no instrument is present in the image.",0.0,0.0,0.0,1,0,0,1
"the procedure was a colonoscopy, text is present, and no green or black box artefacts are observed.",0.0,0.0,0.0,1,0,0,1
there is a 11-20mm polyp present with visible text in the image.,0.0,0.0,0.0,1,0,0,1
there is a 11-20mm polyp with a paris iia morphology.,0.0,0.0,0.0,1,0,0,1
there is a moderately sized polyp noted in the colon.,0.0,0.0,0.0,1,0,0,1
there is a polyp measuring 11 to 20 millimeters in size with no visible text present.,0.0,0.0,0.0,1,0,0,1
there is a residual polyp detected in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
there is evidence of a colorectal polyp seen during colonoscopy.,0.0,0.0,0.0,1,0,0,1
there is evidence of a paris iia type polyp observed in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
there is evidence of a paris type iia polyp in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
there is evidence of a residual polyp in the colon.,0.0,0.0,0.0,1,0,0,1
"three distinct findings are observed, with no text present and one polyp noted.",0.0,0.0,0.0,1,0,0,1
tube located in the abdominal area,0.0,0.0,0.0,1,0,0,1
tube located in the abdominal region,0.0,0.0,0.0,2,0,0,2
tube present in the abdominal region,0.0,0.0,0.0,2,0,0,2
tube visible in abdominal region,0.0,0.0,0.0,1,0,0,1
tube visible in gastric region,0.0,0.0,0.0,1,0,0,1
tube visible in the abdominal region,0.0,0.0,0.0,13,0,0,13
tube visible in the gastric region,0.0,0.0,0.0,8,0,0,8
tube visible in the gastrointestinal tract,0.0,0.0,0.0,1,0,0,1
tube visible in the stomach region,0.0,0.0,0.0,1,0,0,1
tube visible in the upper abdomen,0.0,0.0,0.0,1,0,0,1
tube visible in upper abdominal region,0.0,0.0,0.0,2,0,0,2
tube visible in upper-left quadrant,0.0,0.0,0.0,3,0,0,3
tube visualized in the abdominal region,0.0,0.0,0.0,1,0,0,1
two distinct abnormalities noted,0.0,0.0,0.0,1,0,0,1
two distinct abnormalities observed,0.0,0.0,0.0,1,0,0,1
visible text observed and evidence of paris polyp,0.0,0.0,0.0,1,0,0,1
visible tube in the imaging field and presence of text noted,0.0,0.0,0.0,1,0,0,1
